skribb_word,num_candidates,present_candidates,missing_candidates,covered_by_any_candidate
shoe,1,shoe,,1
shoebox,1,shoe,,1
shoelace,1,shoe,,1
shooter,1,pistol,,1
shooting star,1,star,,1
shorts,1,shorts,,1
shotgun,1,rifle,,1
shoulder,1,elbow,,1
shovel,1,shovel,,1
shrimp,1,lobster,,1
sign,1,stop sign,,1
sim card,1,cell phone,,1
sink,1,sink,,1
skateboard,1,skateboard,,1
skateboarder,1,skateboard,,1
skates,1,skateboard,,1
skeleton,1,toe,,1
skin,1,face,,1
skull,1,skull,,1
skydiving,1,parachute,,1
skyscraper,1,skyscraper,,1
slam,1,map,,1
sledgehammer,1,hammer,,1
sleep,1,bed,,1
sleeve,1,jacket,,1
smartphone,1,cell phone,,1
snail,1,snail,,1
snake,1,snake,,1
snake charmer,1,snake,,1
sneakers,1,shoe,,1
snowboard,1,skateboard,,1
snowflake,1,snowflake,,1
snowman,1,snowman,,1
sock puppet,1,sock,,1
socks,1,sock,,1
solar flare,1,sun,,1
spaceship,1,cruise ship,,1
speed,1,speedboat,,1
speedboat,1,speedboat,,1
spider,1,spider,,1
spiderman,1,spider,,1
spit,1,mouth,,1
spoon,1,spoon,,1
sports,1,baseball,,1
square,1,square,,1
squat,1,knee,,1
squeal,1,squiggle,,1
squid,1,octopus,,1
squirrel,1,squirrel,,1
star,1,star,,1
starbucks,1,coffee cup,,1
steak,1,steak,,1
stereo,1,stereo,,1
stick,1,hockey stick,,1
stick man,1,hockey stick,,1
stitch,1,stitches,,1
stockings,1,sock,,1
stop sign,1,stop sign,,1
storm,1,hurricane,,1
stove,1,stove,,1
strawberry,1,strawberry,,1
street light,1,streetlight,,1
stubble,1,beard,,1
stylus,1,pencil,,1
suitcase,1,suitcase,,1
sun,1,sun,,1
sunny,1,sun,,1
sunrise,1,sun,,1
sunshine,1,sun,,1
surfboard,1,diving board,,1
suv,1,car,,1
swamp,1,pond,,1
swan,1,swan,,1
sweater,1,sweater,,1
sweet potato,1,potato,,1
swimming pool,1,pool,,1
sword,1,sword,,1
t-shirt,1,t-shirt,,1
table,1,table,,1
tadpole,1,frog,,1
tea,1,teapot,,1
tea bag,1,teapot,,1
teapot,1,teapot,,1
teaspoon,1,teapot,,1
telephone,1,telephone,,1
television,1,television,,1
tennis racket,1,racket,,1
tent,1,tent,,1
tentacle,1,tent,,1
tesla,1,car,,1
thigh,1,leg,,1
throat,1,mouth,,1
thumb,1,finger,,1
thunderstorm,1,lightning,,1
tire,1,wheel,,1
toad,1,frog,,1
toast,1,toaster,,1
toe,1,toe,,1
toenail,1,toe,,1
toilet,1,toilet,,1
toilet brush,1,toilet,,1
tom cat,1,cat,,1
tongue,1,mouth,,1
tooth,1,tooth,,1
tooth fairy,1,tooth,,1
toothbrush,1,toothbrush,,1
toothpaste,1,toothpaste,,1
toothpick,1,tooth,,1
top hat,1,hat,,1
tornado,1,tornado,,1
torpedo,1,submarine,,1
touch,1,finger,,1
tower bridge,1,bridge,,1
toyota,1,car,,1
tractor,1,tractor,,1
traffic,1,traffic light,,1
train,1,train,,1
train station,1,train,,1
trapdoor,1,door,,1
tree,1,tree,,1
treehouse,1,tree,,1
triangle,1,triangle,,1
trombone,1,trombone,,1
trophy,1,cup,,1
trousers,1,pants,,1
truck,1,truck,,1
truck driver,1,truck,,1
trump,1,bush,,1
trumpet,1,trumpet,,1
tugboat,1,sailboat,,1
tuna,1,fish,,1
tuning fork,1,fork,,1
turtle,1,turtle,,1
umbrella,1,umbrella,,1
underwear,1,underwear,,1
upstairs,1,stairs,,1
van,1,van,,1
vase,1,vase,,1
vegetable,1,carrot,,1
vehicle,1,car,,1
viola,1,violin,,1
violet,1,rainbow,,1
vision,1,eye,,1
volcano,1,volcano,,1
waist,1,pants,,1
washing machine,1,washing machine,,1
water gun,1,pistol,,1
water slide,1,waterslide,,1
watermelon,1,watermelon,,1
weapon,1,rifle,,1
weather,1,rain,,1
weatherman,1,snowman,,1
wet,1,rain,,1
whale,1,whale,,1
wheat,1,bread,,1
wheel,1,wheel,,1
wheelbarrow,1,wheel,,1
wheelchair,1,wheelchair,,1
white house,1,bush,,1
wind,1,windmill,,1
wind farm,1,windmill,,1
windmill,1,windmill,,1
window,1,window,,1
window sill,1,window,,1
windows,1,window,,1
windshield,1,window,,1
wine glass,1,wine glass,,1
wound,1,bandage,,1
wrench,1,pliers,,1
wrist,1,wristwatch,,1
yacht,1,sailboat,,1
yoga,1,yoga,,1
yogi bear,1,bear,,1
zebra,1,zebra,,1
zebra crossing,1,zebra,,1
zigzag,1,zigzag,,1
alcohol,1,,wine bottle,0
hot air balloon,1,,hot air balloon,0
mercedes,1,,sedan,0
sea turtle,1,,sea turtle,0
sedan,1,,sedan,0
teddy bear,1,,teddy bear,0
vodka,1,,wine bottle,0
wine,1,,wine bottle,0
